Symbol,Description,Price,Price - Currency,Price Change % 1 day,Volume 1 day,Relative Volume 1 day,Market capitalization,Market capitalization - Currency,Price to earnings ratio,"Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Earnings per share diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst Rating
BRITANNIA,BRITANNIA INDUSTRIES LTD,5302.5,INR,-1.3580132080736675,215308,0.4357060046879657,1294727337055,INR,58.218561427856194,91.0792,INR,0.27005336113499506,1.36737826147621,Consumer non-durables,Buy
CIPLA,CIPLA LTD,1564,INR,0.19218449711723257,2535958,1.8242047493698261,1261586224335,INR,23.43773415255507,66.73,INR,25.291025159594454,0.832346256042514,Health technology,Buy
BANKBARODA,BANK OF BARODA,242.77,INR,0.39700591373392663,5398813,1.024769551259727,1250176719116,INR,6.452221613892595,37.6258,INR,2.1771068403572573,3.45398138572906,Finance,Buy
TATAPOWER,TATA POWER CO LTD,385.3,INR,-0.4907024793388371,2662149,0.4775155585215829,1236915978512,INR,30.324733586236206,12.7058,INR,9.995498303206595,0.581245156290364,Utilities,Buy
MAXHEALTH,MAX HEALTHCARE INS LTD,1220.7,INR,-3.6619051377160337,5657114,3.942066105520649,1232293246701,INR,104.06649616368287,11.73,INR,8.510638297872338,0.118333859261597,Health services,Buy
CHOLAFIN,CHOLAMANDALAM IN & FIN CO,1461.5,INR,0.06846970215679561,1612053,0.7731831859673208,1229047446766,INR,27.658970476911428,52.84,INR,21.081576535288733,0.136887854625098,Finance,Buy
GODREJCP,GODREJ CONSUMER PRODUCTS,1184.9,INR,-1.1594928261594815,934906,0.6859418337677713,1225745342759,INR,65.38064679883685,18.1231,INR,,1.66930974042234,Consumer non-durables,Buy
PNB,PUNJAB NATIONAL BANK,106.28,INR,-0.33758439609902424,6165564,0.3794521194154904,1225722426814,INR,7.263035604455683,14.633,INR,37.231548344743494,2.71917487107361,Finance,Buy
TORNTPHARM,TORRENT PHARMACEUTICALS L,3623,INR,0.1437337608491298,382408,1.2589895371729924,1224495582275,INR,61.24815731461571,59.1528,INR,15.389026954693167,0.884466556108347,Health technology,Buy
LODHA,LODHA DEVELOPERS LTD,1231.6,INR,0.47316038505465446,1514599,1.7430703814905275,1223892149221,INR,41.55195681511471,29.64,INR,57.128013740749374,0.183538624683906,Finance,Strong buy
